"site","CPUE"
"Bocana",128.073624548264
"Bocana",108.643321394754
"Bocana",99.8553880361583
"Bocana",139.467284803561
"Bocana",126.45498557266
"Bocana",132.069079142032
"Bocana",141.083992188033
"Bocana",154.731197368953
"Bocana",127.267006664455
"Bocana",120.46672668904
"Bocana",150.248082499551
"Bocana",115.429200019902
"Bocana",111.459992450314
"Bocana",120.869114227469
"Bocana",165.508802416407
"Bocana",116.336124081443
"Bocana",135.026358783853
"Bocana",111.143313940535
"Bocana",111.213039674366
"Bocana",123.829710786787
"Bocana",149.270266655242
"Bocana",121.786350957759
"Bocana",141.466695533453
"Bocana",106.953655213273
"Bocana",122.818972250671
"B.Asuncion",104.043000647355
"B.Asuncion",111.371174579991
"B.Asuncion",140.340338038511
"B.Asuncion",116.084703233289
"B.Asuncion",121.125194895445
"B.Asuncion",122.601334611884
"B.Asuncion",106.956902861509
"B.Asuncion",92.2926400553907
"B.Asuncion",112.06095396032
"B.Asuncion",120.32946092418
"B.Asuncion",136.344671647745
"B.Asuncion",113.418185335262
"B.Asuncion",112.572773590941
"B.Asuncion",147.09194407007
"B.Asuncion",104.091671401558
"B.Asuncion",125.650555011537
"B.Asuncion",107.507466119481
"B.Asuncion",125.489154003594
"B.Asuncion",90.2038019641773
"B.Asuncion",108.681020697944
"B.Asuncion",112.982263805061
"B.Asuncion",136.152744660774
"B.Asuncion",109.566252618338
"B.Asuncion",123.380658474202
"B.Asuncion",110.498211988102
"B.Asuncion",102.711657810167
"B.Asuncion",130.421343282113
"B.Asuncion",109.734980277694
"B.Asuncion",142.285830579217
"B.Asuncion",125.993796700152
"B.Asuncion",115.301840392915
"B.Asuncion",126.218391206076
"B.Asuncion",117.295727520032
"B.Asuncion",126.228690567245
"B.Asuncion",110.666861252629
"B.Asuncion",79.5616223824279
"B.Asuncion",120.841306278368
"B.Asuncion",129.899392004529
"B.Asuncion",100.345492348085
"B.Asuncion",97.9729251077482
"B.Asuncion",110.146253602279
"B.Asuncion",108.728509343288
"B.Asuncion",125.560439613688
"B.Asuncion",120.43330964429
"B.Asuncion",136.642867965417
"B.Asuncion",147.781569851674
"B.Asuncion",117.695469070266
"B.Asuncion",117.582852012274
"B.Asuncion",122.522955991958
"B.Asuncion",111.950270135098
"B.Tortugas",132.100794365997
"B.Tortugas",132.288914636833
"B.Tortugas",137.007521227308
"B.Tortugas",135.381180447286
"B.Tortugas",130.4248890458
"B.Tortugas",134.341800493099
"B.Tortugas",131.269858241708
"B.Tortugas",143.905236016781
"B.Tortugas",133.661983757876
"B.Tortugas",125.38711872178
"B.Tortugas",130.292025357373
"B.Tortugas",124.598904405233
"B.Tortugas",136.207440418922
"B.Tortugas",144.57735122226
"B.Tortugas",141.791355334178
"B.Tortugas",136.192768350541
"B.Tortugas",132.390474162229
"B.Tortugas",137.337686156955
"B.Tortugas",132.863488321028
"B.Tortugas",107.030344433615
"B.Tortugas",138.233192670029
"B.Tortugas",128.73058145969
"B.Tortugas",150.062407457437
"B.Tortugas",161.766196653859
"B.Tortugas",117.457995582482
"B.Tortugas",141.242753077735
"B.Tortugas",135.186643282173
"B.Tortugas",126.766191306917
"B.Tortugas",141.637356569954
"B.Tortugas",142.781273129048
"B.Tortugas",132.362813965416
"B.Tortugas",129.73683541882
"B.Tortugas",119.458794529067
"B.Tortugas",125.451796796983
"B.Tortugas",130.545307469919
"B.Tortugas",130.313773301848
"B.Tortugas",145.975031901609
"B.Tortugas",130.116749943945
"B.Tortugas",158.212979836933
"B.Tortugas",127.984511776467
"B.Tortugas",154.056503458145
"B.Tortugas",135.679628127101
"B.Tortugas",119.463504740405
"B.Tortugas",141.074577437517
"B.Tortugas",133.940625491519
"B.Tortugas",128.937248255587
"B.Tortugas",144.658535411018
"B.Tortugas",140.248140757616
"B.Tortugas",146.811031493944
"B.Tortugas",120.29516442901
"B.Tortugas",126.272705008484
"B.Tortugas",120.41116351365
"B.Tortugas",94.3038066434989
"B.Tortugas",137.894946011016
"B.Tortugas",149.701042892453
