Survey,Survey Cycle,Vessel,Cruise Leg,Trawl Id,Trawl Performance,Trawl Date,Trawl Start Time,Best Latitude (dd),Best Longitude (dd),Best Position Type,Best Depth (m),Best Depth Type,Trawl Duration (min),Area Swept by the Net (hectares),Temperature At the Gear (degs C)
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003016,Fisheries Assessment Acceptable,9/4/03,9/4/03 6:17,48.09506607,-125.8554955,Gear Track Midpoint,896.6,Bottom Depth,20.98,2.605101,3.9
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003017,Fisheries Assessment Acceptable,9/4/03,9/4/03 9:58,47.93688965,-125.7483673,Gear Track Midpoint,859.5,Bottom Depth,20.63,2.201343,3.95
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003019,Fisheries Assessment Acceptable,9/4/03,9/4/03 16:24,47.76928329,-125.7058983,Gear Track Midpoint,1129.4,Bottom Depth,24,2.920148,3.39
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003020,Fisheries Assessment Acceptable,9/5/03,9/5/03 6:00,48.3439625,-125.0067708,Vessel Track Midpoint,237.3,Bottom Depth,18.07,2.241162,6.68
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003021,Fisheries Assessment Acceptable,9/5/03,9/5/03 9:13,48.32942009,-125.3245506,Gear Track Midpoint,113.6,Bottom Depth,16.25,1.753073,6.75
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003023,Fisheries Assessment Acceptable,9/5/03,9/5/03 17:14,48.22753143,-125.178875,Gear Track Midpoint,203.4,Bottom Depth,17.78,2.009637,6.51
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003024,Fisheries Assessment Acceptable,9/6/03,9/6/03 5:26,48.16075134,-124.89505,Gear Track Midpoint,65.1,Bottom Depth,16.6,1.743822,7.45
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003025,Fisheries Assessment Acceptable,9/6/03,9/6/03 8:10,48.09252357,-125.0329704,Gear Track Midpoint,344.6,Bottom Depth,19.47,2.524416,6.47
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003026,Fisheries Assessment Acceptable,9/6/03,9/6/03 13:05,48.15635109,-125.1161003,Gear Track Midpoint,270.1,Bottom Depth,18.67,2.196558,6.33
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003027,Fisheries Assessment Acceptable,9/6/03,9/6/03 17:08,47.99782753,-124.957634,Gear Track Midpoint,99.2,Bottom Depth,17.1,1.913511,7.2
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003028,Fisheries Assessment Acceptable,9/7/03,9/7/03 5:50,48.00288963,-125.2281647,Gear Track Midpoint,160.2,Bottom Depth,18.17,2.15072,7.13
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003029,Fisheries Assessment Acceptable,9/7/03,9/7/03 10:20,48.0440979,-125.1322517,Gear Track Midpoint,141.5,Bottom Depth,17.77,2.393136,7.19
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003030,Fisheries Assessment Acceptable,9/7/03,9/7/03 15:16,48.07696342,-125.3249283,Gear Track Midpoint,214.7,Bottom Depth,19.33,2.104604,6.55
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003032,Fisheries Assessment Acceptable,9/7/03,9/7/03 19:41,48.11399651,-125.6039772,Gear Track Midpoint,160.6,Bottom Depth,17.7,1.963718,7.09
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003033,Fisheries Assessment Acceptable,9/8/03,9/8/03 5:17,47.29580879,-124.8804398,Gear Track Midpoint,230.5,Bottom Depth,19.33,2.523361,6.9
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003034,Fisheries Assessment Acceptable,9/8/03,9/8/03 11:48,47.29265785,-124.7642136,Gear Track Midpoint,183,Bottom Depth,17.7,2.283348,7.23
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003035,Fisheries Assessment Acceptable,9/8/03,9/8/03 16:17,47.0294075,-124.684288,Gear Track Midpoint,106.5,Bottom Depth,17.6,2.06635,7.36
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003037,Fisheries Assessment Acceptable,9/12/03,9/12/03 9:34,46.59062958,-124.6871109,Gear Track Midpoint,803.2,Bottom Depth,20.52,2.478447,4.12
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003038,Fisheries Assessment Acceptable,9/12/03,9/12/03 13:12,46.4322375,-124.6329792,Vessel Track Midpoint,990.5,Bottom Depth,19.38,1.794629,3.48
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003039,Fisheries Assessment Acceptable,9/12/03,9/12/03 17:32,46.15193176,-124.7668991,Gear Track Midpoint,1079.8,Bottom Depth,23.93,2.716584,3.42
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003040,Fisheries Assessment Acceptable,9/13/03,9/13/03 5:40,46.04764748,-124.8300972,Gear Track Midpoint,403.2,Bottom Depth,17.55,1.712288,5.92
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003041,Fisheries Assessment Acceptable,9/13/03,9/13/03 8:35,46.07473373,-124.7156143,Gear Track Midpoint,256.9,Bottom Depth,17.1,2.074648,6.84
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003042,Fisheries Assessment Acceptable,9/13/03,9/13/03 14:30,45.95121765,-124.3654404,Gear Track Midpoint,142.3,Bottom Depth,18,2.151,7.5
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003043,Fisheries Assessment Acceptable,9/13/03,9/13/03 17:40,45.79133606,-124.5250931,Gear Track Midpoint,173.8,Bottom Depth,18.6,2.56065,7.5
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003044,Fisheries Assessment Acceptable,9/14/03,9/14/03 5:10,45.72284167,-124.3048833,Vessel Track Midpoint,144,Bottom Depth,17.8,2.073335,7.58
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003045,Fisheries Assessment Acceptable,9/14/03,9/14/03 9:00,45.59386444,-124.7747345,Gear Track Midpoint,605.5,Bottom Depth,16.5,1.876136,4.64
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003046,Fisheries Assessment Acceptable,9/14/03,9/14/03 11:56,45.36979485,-124.7119446,Gear Track Midpoint,509.3,Bottom Depth,17.52,1.94925,5.42
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003047,Fisheries Assessment Acceptable,9/14/03,9/14/03 14:17,45.29720306,-124.5664673,Gear Track Midpoint,436.4,Bottom Depth,17.6,2.08639,5.68
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003048,Fisheries Assessment Acceptable,9/14/03,9/14/03 17:37,45.094975,-124.2598667,Vessel Track Midpoint,164.2,Bottom Depth,20.23,2.390179,7.49
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003049,Fisheries Assessment Acceptable,9/15/03,9/15/03 4:58,45.13757896,-124.5102539,Gear Track Midpoint,355.7,Bottom Depth,17.5,2.009592,6.03
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003050,Fisheries Assessment Acceptable,9/15/03,9/15/03 8:00,45.12983322,-124.7269363,Gear Track Midpoint,312.6,Bottom Depth,18.9,2.472804,6.11
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003051,Fisheries Assessment Acceptable,9/15/03,9/15/03 12:40,45.09032631,-124.7072296,Gear Track Midpoint,291.6,Bottom Depth,20.33,2.317014,6.31
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003052,Fisheries Assessment Acceptable,9/15/03,9/15/03 17:34,44.954575,-125.0288542,Vessel Track Midpoint,1065.1,Bottom Depth,27.1,3.056089,3.58
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003053,Fisheries Assessment Acceptable,9/15/03,9/15/03 21:58,44.60644341,-125.0974121,Gear Track Midpoint,975.1,Bottom Depth,30.88,3.54672,3.83
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003054,Fisheries Assessment Acceptable,9/16/03,9/16/03 5:11,44.93183333,-124.4828167,Vessel Track Midpoint,313.2,Bottom Depth,23.2,2.37384,6.97
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003055,Fisheries Assessment Acceptable,9/16/03,9/16/03 8:16,44.69703674,-124.420681,Gear Track Midpoint,103.4,Bottom Depth,17.4,1.858296,7.89
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003056,Fisheries Assessment Acceptable,9/16/03,9/16/03 12:36,44.51102829,-124.2465439,Gear Track Midpoint,72.6,Bottom Depth,18.1,1.8975,7.87
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003057,Fisheries Assessment Acceptable,9/16/03,9/16/03 15:34,44.33302498,-124.3083763,Gear Track Midpoint,75.6,Bottom Depth,17.98,1.943304,8.03
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003058,Fisheries Assessment Acceptable,9/16/03,9/16/03 19:11,43.93737793,-124.2884064,Gear Track Midpoint,98.7,Bottom Depth,17.8,2.066395,7.96
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003059,Fisheries Assessment Acceptable,9/17/03,9/17/03 5:39,44.12176323,-124.992672,Gear Track Midpoint,435.3,Bottom Depth,16.58,1.85505,5.99
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003060,Fisheries Assessment Acceptable,9/17/03,9/17/03 9:22,44.45174408,-124.8933258,Gear Track Midpoint,410.5,Bottom Depth,16.87,1.8879,6.06
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003061,Fisheries Assessment Acceptable,9/17/03,9/17/03 16:54,43.63019167,-125.0499208,Vessel Track Midpoint,983.7,Bottom Depth,26.8,2.040864,
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003062,Fisheries Assessment Acceptable,9/17/03,9/17/03 19:51,43.44306755,-124.8768005,Gear Track Midpoint,623.5,Bottom Depth,20,2.309156,4.98
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,2,200303003063,Fisheries Assessment Acceptable,9/18/03,9/18/03 5:13,43.71271706,-124.6429253,Gear Track Midpoint,351.3,Bottom Depth,17.5,2.055438,6.54
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003064,Fisheries Assessment Acceptable,9/24/03,9/24/03 5:12,43.27376175,-124.7037773,Gear Track Midpoint,198.6,Bottom Depth,18.8,2.068656,7.75
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003065,Fisheries Assessment Acceptable,9/24/03,9/24/03 8:53,43.25667572,-124.9518585,Gear Track Midpoint,929.8,Bottom Depth,33.8,2.911287,3.84
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003066,Fisheries Assessment Acceptable,9/24/03,9/24/03 13:05,42.94205417,-124.8419083,Vessel Track Midpoint,143.9,Bottom Depth,18.2,1.916376,7.67
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003067,Fisheries Assessment Acceptable,9/25/03,9/25/03 5:34,42.88014984,-124.8946609,Gear Track Midpoint,378.5,Bottom Depth,17.05,1.882232,6.57
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003068,Fisheries Assessment Acceptable,9/25/03,9/25/03 9:02,42.86923027,-124.8266182,Gear Track Midpoint,289.7,Bottom Depth,18.6,1.761354,7.27
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003069,Fisheries Assessment Acceptable,9/25/03,9/25/03 12:24,42.70151667,-124.6796667,Vessel Track Midpoint,149.9,Bottom Depth,21,2.222928,8.18
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003070,Fisheries Assessment Acceptable,9/27/03,9/27/03 5:23,42.5913625,-124.7124375,Vessel Track Midpoint,226.6,Bottom Depth,18.5,2.155968,8.14
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003072,Fisheries Assessment Acceptable,9/27/03,9/27/03 13:15,42.35910606,-124.6721878,Gear Track Midpoint,171.5,Bottom Depth,19.2,2.094815,8.4
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003074,Fisheries Assessment Acceptable,9/28/03,9/28/03 7:10,41.81068993,-124.896656,Gear Track Midpoint,974.6,Bottom Depth,25.1,2.998476,3.57
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003075,Fisheries Assessment Acceptable,9/28/03,9/28/03 10:39,41.79920387,-124.5617485,Gear Track Midpoint,534.6,Bottom Depth,18,2.326977,5.27
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003076,Fisheries Assessment Acceptable,9/28/03,9/28/03 13:31,41.6903286,-124.2942429,Gear Track Midpoint,62.7,Bottom Depth,17.3,1.47798,8.62
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003077,Fisheries Assessment Acceptable,9/28/03,9/28/03 16:08,41.52400208,-124.4673996,Gear Track Midpoint,153.5,Bottom Depth,18.5,2.226367,8.39
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003078,Fisheries Assessment Acceptable,9/28/03,9/28/03 19:18,41.52862549,-124.4943199,Gear Track Midpoint,212,Bottom Depth,18.7,2.25072,8.13
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003079,Fisheries Assessment Acceptable,9/29/03,9/29/03 5:57,41.50067329,-124.9168777,Gear Track Midpoint,670,Bottom Depth,21,2.351808,4.55
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003080,Fisheries Assessment Acceptable,9/29/03,9/29/03 9:17,41.40742683,-124.6550446,Gear Track Midpoint,1037.4,Bottom Depth,23,2.70584,3.59
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003081,Fisheries Assessment Acceptable,9/29/03,9/29/03 12:53,41.36489167,-124.2656167,Vessel Track Midpoint,80.3,Bottom Depth,20.1,1.988856,8.74
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003082,Fisheries Assessment Acceptable,9/29/03,9/29/03 16:00,41.27122917,-124.3994833,Vessel Track Midpoint,180.8,Bottom Depth,18.5,2.236358,8.17
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003084,Fisheries Assessment Acceptable,9/30/03,9/30/03 9:15,41.11929167,-124.8363083,Vessel Track Midpoint,1141.7,Bottom Depth,38.5,3.628917,3.21
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,3,200303003085,Fisheries Assessment Acceptable,9/30/03,9/30/03 13:16,41.00837917,-124.4540167,Vessel Track Midpoint,449.8,Bottom Depth,19.6,2.066379,5.78
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003090,Fisheries Assessment Acceptable,10/5/03,10/5/03 9:45,40.46845436,-124.6094208,Gear Track Midpoint,145.4,Bottom Depth,16.2,2.080016,
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003091,Fisheries Assessment Acceptable,10/5/03,10/5/03 14:27,40.3430233,-124.5007362,Gear Track Midpoint,370.5,Bottom Depth,16.4,1.822518,
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003092,Fisheries Assessment Acceptable,10/5/03,10/5/03 18:27,40.20462227,-124.3834801,Gear Track Midpoint,94.8,Bottom Depth,21.2,2.588204,9.22
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003093,Fisheries Assessment Acceptable,10/6/03,10/6/03 7:19,40.20006752,-124.5092621,Gear Track Midpoint,450.5,Bottom Depth,16.5,1.850625,5.72
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003094,Fisheries Assessment Acceptable,10/6/03,10/6/03 10:56,40.18046761,-124.7695351,Gear Track Midpoint,905.6,Bottom Depth,37.2,4.16024,4.08
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003096,Fisheries Assessment Acceptable,10/7/03,10/7/03 6:55,39.73444939,-124.0571251,Gear Track Midpoint,393.2,Bottom Depth,16.9,2.0049,6.81
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003097,Fisheries Assessment Acceptable,10/7/03,10/7/03 9:45,39.67031288,-123.9958611,Gear Track Midpoint,248.2,Bottom Depth,20.7,2.694814,8.1
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003098,Fisheries Assessment Acceptable,10/7/03,10/7/03 13:43,39.50177574,-124.1282196,Gear Track Midpoint,879.3,Bottom Depth,24,3.200112,4.23
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003099,Fisheries Assessment Acceptable,10/7/03,10/7/03 17:27,39.24801826,-123.835804,Gear Track Midpoint,95.7,Bottom Depth,17.7,1.992462,9.48
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003100,Fisheries Assessment Acceptable,10/7/03,10/7/03 19:40,39.06691667,-123.934675,Vessel Track Midpoint,150.8,Bottom Depth,19.6,2.413526,8.64
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003101,Fisheries Assessment Acceptable,10/8/03,10/8/03 6:36,38.85857582,-123.9281082,Gear Track Midpoint,310.8,Bottom Depth,16,1.829685,8.06
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003102,Fisheries Assessment Acceptable,10/8/03,10/8/03 9:33,38.76736069,-123.7059059,Gear Track Midpoint,115.7,Bottom Depth,17.9,2.0148,9
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003103,Fisheries Assessment Acceptable,10/8/03,10/8/03 11:56,38.70392609,-123.758812,Gear Track Midpoint,190.6,Bottom Depth,20.1,2.359662,8.62
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003104,Fisheries Assessment Acceptable,10/8/03,10/8/03 16:52,38.2569046,-123.46175,Gear Track Midpoint,299.4,Bottom Depth,18.1,1.98,8.18
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003105,Fisheries Assessment Acceptable,10/9/03,10/9/03 6:24,38.03966141,-123.3792229,Gear Track Midpoint,117,Gross Operation Depth,19.3,1.916544,
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003107,Fisheries Assessment Acceptable,10/10/03,10/10/03 5:59,37.064475,-122.51215,Vessel Track Midpoint,116.9,Bottom Depth,18.6,1.981896,9.56
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003108,Fisheries Assessment Acceptable,10/10/03,10/10/03 8:16,36.9995,-122.4840917,Vessel Track Midpoint,139.2,Bottom Depth,21.7,2.167002,9.08
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003109,Fisheries Assessment Acceptable,10/10/03,10/10/03 16:32,36.36541367,-121.9960327,Gear Track Midpoint,133.6,Bottom Depth,19.2,1.664748,8.73
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003110,Fisheries Assessment Acceptable,10/10/03,10/10/03 19:36,36.2214875,-121.9981083,Vessel Track Midpoint,566,Gross Operation Depth,18.7,1.755138,
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003111,Fisheries Assessment Acceptable,10/11/03,10/11/03 6:15,35.78662872,-121.7026596,Gear Track Midpoint,890,Bottom Depth,24,2.980136,4.38
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003112,Fisheries Assessment Acceptable,10/11/03,10/11/03 10:28,35.72844124,-121.3762436,Gear Track Midpoint,69.4,Bottom Depth,17.3,2.003268,10.73
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003113,Fisheries Assessment Acceptable,10/11/03,10/11/03 13:21,35.56045723,-121.335968,Gear Track Midpoint,412.7,Bottom Depth,16.9,1.92508,7.19
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003114,Fisheries Assessment Acceptable,10/11/03,10/11/03 18:38,35.07059669,-121.0057449,Gear Track Midpoint,401.1,Bottom Depth,16.8,1.822653,7.19
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,4,200303003115,Fisheries Assessment Acceptable,10/12/03,10/12/03 6:31,35.29533333,-121.0864208,Vessel Track Midpoint,329.6,Bottom Depth,17.2,1.8093,7.95
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003116,Fisheries Assessment Acceptable,10/16/03,10/16/03 11:26,34.95989037,-121.08778,Gear Track Midpoint,524.3,Bottom Depth,15.8,1.757385,6.32
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003117,Fisheries Assessment Acceptable,10/16/03,10/16/03 14:52,35.089975,-120.7523083,Vessel Track Midpoint,55.8,Bottom Depth,18,2.250855,12.1
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003118,Fisheries Assessment Acceptable,10/16/03,10/16/03 18:00,34.83572006,-120.8827095,Gear Track Midpoint,207.4,Bottom Depth,19.3,2.257344,9.63
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003121,Fisheries Assessment Acceptable,10/17/03,10/17/03 11:52,34.61702538,-120.8888321,Gear Track Midpoint,326,Bottom Depth,17.9,2.064538,8.07
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003122,Fisheries Assessment Acceptable,10/17/03,10/17/03 15:39,34.37884903,-120.5878258,Gear Track Midpoint,337.6,Bottom Depth,19.5,2.320196,8.14
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003123,Fisheries Assessment Acceptable,10/17/03,10/17/03 19:14,34.32291222,-120.5731506,Gear Track Midpoint,433.9,Bottom Depth,18,2.059911,7.49
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003124,Fisheries Assessment Acceptable,10/18/03,10/18/03 7:01,34.39621925,-120.4197121,Gear Track Midpoint,92.2,Bottom Depth,17.1,1.780994,10.68
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003125,Fisheries Assessment Acceptable,10/18/03,10/18/03 9:52,34.23605728,-120.4555244,Gear Track Midpoint,478.3,Bottom Depth,17.7,1.867715,6.61
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003126,Fisheries Assessment Acceptable,10/18/03,10/18/03 12:59,34.19224358,-120.1811752,Gear Track Midpoint,507.4,Bottom Depth,16.5,1.580103,6.44
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,5,200303003127,Fisheries Assessment Acceptable,10/18/03,10/18/03 15:20,34.1483593,-120.0075111,Gear Track Midpoint,450.6,Bottom Depth,16.5,1.620362,6.62
